基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,成立时间,自定义,手续费
005669,前海开源公用事业股票,2021-09-07,3.2722,3.2722,1.95,-0.86,3.23,67.19,114.64,203.57,208.41,237.93,96.95,227.22,2018-03-23,192.8936,1.50%
002296,长城行业轮动混合A,2021-09-07,2.8805,2.8805,2.38,-2.58,6.60,63.86,114.40,116.60,145.17,170.14,98.74,188.05,2016-01-12,115.3169,1.50%
000689,前海开源新经济混合A,2021-09-07,3.2801,3.3901,2.48,-1.21,1.76,64.91,109.46,148.12,218.77,258.87,94.32,260.49,2014-08-20,136.7247,1.50%
006736,国投瑞银先进制造混合,2021-09-07,5.2038,5.2038,2.71,-1.65,17.13,79.09,104.87,155.53,347.91,,88.09,420.38,2019-01-25,152.1876,1.50%
007689,国投瑞银新能源混合A,2021-09-07,3.9780,4.0480,2.72,-1.78,17.74,79.37,103.63,157.46,,,90.36,324.26,2019-11-18,154.1842,1.50%
001704,国投瑞银进宝灵活配置混合,2021-09-07,5.1164,5.1414,2.57,-0.69,16.54,78.80,103.48,140.22,313.91,488.30,82.95,424.37,2015-08-26,136.0204,1.50%
007690,国投瑞银新能源混合C,2021-09-07,3.9496,4.0196,2.72,-1.78,17.71,79.19,103.23,156.45,,,89.85,321.25,2019-11-18,153.1979,
000209,信诚新兴产业混合A,2021-09-07,5.6674,5.6674,3.26,-3.21,7.42,55.48,98.72,179.60,325.16,402.43,95.90,466.74,2013-07-17,169.5116,1.50%
167001,平安鼎泰混合(LOF),2021-09-07,2.4459,2.4459,3.08,-2.29,12.90,70.62,91.68,130.03,227.39,274.91,81.86,144.59,2016-07-21,126.1074,1.50%
005927,创金合信新能源汽车股票A,2021-09-07,3.9319,3.9319,3.06,-3.34,6.91,58.61,91.24,178.17,304.35,301.05,82.21,293.19,2018-05-08,163.1199,1.50%
005928,创金合信新能源汽车股票C,2021-09-07,3.8384,3.8384,3.06,-3.35,6.85,58.34,90.57,176.24,298.92,292.43,81.35,283.84,2018-05-08,161.3170,
001298,金鹰民族新兴混合,2021-09-07,4.4320,4.4320,2.62,-4.93,3.50,51.94,90.05,153.84,276.87,388.11,93.71,343.20,2015-06-02,145.2463,1.50%
009644,东方阿尔法优势产业混合A,2021-09-07,2.4237,2.4237,2.98,-2.66,6.04,52.36,89.26,148.74,,,84.69,142.37,2020-06-28,,1.50%
009645,东方阿尔法优势产业混合C,2021-09-07,2.4094,2.4094,2.97,-2.67,5.99,52.17,88.78,147.50,,,84.06,140.94,2020-06-28,,
400015,东方新能源汽车混合,2021-09-07,4.7379,5.1979,4.26,-1.05,1.94,43.97,88.34,170.03,326.65,332.72,68.76,531.73,2011-12-28,152.1372,1.50%
590003,中邮核心优势灵活配置混合,2021-09-07,3.5540,3.7340,3.04,3.46,16.60,64.46,86.56,102.74,159.99,182.06,80.22,318.76,2009-10-28,95.3794,1.50%
000828,泰达转型机遇股票A,2021-09-07,3.8130,4.0330,3.84,-3.30,0.95,42.06,85.28,151.68,274.93,451.81,69.02,358.19,2014-11-18,142.5082,1.20%
167002,平安鼎越混合(LOF),2021-09-07,3.3614,3.3614,3.27,-2.21,12.74,65.64,85.02,119.70,222.19,302.90,76.37,236.14,2016-09-20,115.3987,1.50%
005076,创金合信优选回报灵活配置混合,2021-09-07,1.6534,2.2904,3.01,-3.71,7,59.32,83.88,71.86,168.87,195.68,61.75,172.29,2017-09-27,62.4889,1.20%
006154,华安制造先锋混合A,2021-09-07,4.4637,4.4637,2.08,-2.42,6.14,53.21,83.69,98.09,181.50,,66.80,346.37,2018-12-25,93.7073,1.50%
011146,创金气候变化责任投资股票A,2021-09-07,1.7802,1.7802,2.81,-3.59,6.72,58.69,82.73,,,,75.74,78.02,2020-12-30,68.75,1.50%
011147,创金气候变化责任投资股票C,2021-09-07,1.7754,1.7754,2.81,-3.59,6.69,58.53,82.37,,,,75.26,77.54,2020-12-30,68.3,
010135,泰达高研发6个月持有混合A,2021-09-07,1.4670,1.4670,4.09,-1.77,0.24,41.34,81.25,,,,53.90,46.70,2020-09-24,40.47,1.50%
010136,泰达高研发6个月持有混合C,2021-09-07,1.4629,1.4629,4.08,-1.78,0.21,41.25,80.96,,,,53.59,46.29,2020-09-24,40.08,
003567,华夏行业景气混合,2021-09-07,3.8019,3.8019,1.68,0.86,2.39,40.63,79.96,113.53,204.20,288.15,72.79,280.19,2017-02-04,107.3575,1.50%
005939,工银新能源汽车混合A,2021-09-07,4.5077,4.5077,3.16,-2.31,2.33,42.62,79.73,151.85,296.04,,62.40,350.77,2018-11-14,140.0827,1.50%
040015,华安动态灵活配置混合,2021-09-07,5.06,5.6730,1.52,-2.17,5.81,50.55,79.69,97.12,180.64,257.85,66.50,679.45,2009-12-22,93.1048,1.50%
001933,华商新兴活力混合,2021-09-07,2.7340,2.7340,2.36,-1.87,1.64,51.89,79.40,73.48,193.03,203.44,55.96,173.40,2016-02-25,67.0685,1.50%
005940,工银新能源汽车混合C,2021-09-07,4.4171,4.4171,3.16,-2.32,2.29,42.47,79.37,150.84,292.60,,61.95,341.71,2018-11-14,139.1277,
162201,泰达宏利成长混合,2021-09-07,2.6688,5.0653,4.34,-1.84,1.75,40.23,78.81,47.46,103.74,198,58.61,1890.94,2003-04-25,40.0983,1.50%
001245,工银生态环境股票,2021-09-07,2.8780,2.8780,3.12,-2.61,2.82,59.18,77.22,133.98,283.22,387.80,60.87,187.80,2015-06-02,125.6911,1.50%
001822,华商智能生活灵活配置混合,2021-09-07,2.8260,2.8260,2.35,-2.48,0.78,48.04,75.42,72,197.47,244.63,53.92,182.60,2015-11-13,66.1595,1.50%
008279,国泰中证煤炭ETF联接A,2021-09-07,2.3044,2.3044,4.25,5.30,30.26,45.44,75.37,110.39,,,80.89,130.44,2020-01-16,98.0279,1.00%
008280,国泰中证煤炭ETF联接C,2021-09-07,2.2935,2.2935,4.25,5.29,30.22,45.33,75.10,109.78,,,80.52,129.35,2020-01-16,97.4664,
